SDU078,2011-07-15 09:17:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:18:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:18:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:18:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:18:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:19:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:19:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:19:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:19:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:20:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:20:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:20:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:20:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:21:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:21:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:21:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:21:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:22:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:22:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:22:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:22:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:23:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:23:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:23:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:23:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:24:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:24:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:24:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:24:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:25:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:25:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:25:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:25:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:26:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:26:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:26:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:26:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:27:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:27:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:27:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:27:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:28:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:28:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:28:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:28:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:29:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:29:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:29:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:29:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:30:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:30:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:30:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:30:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:31:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:31:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:31:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:31:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:32:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:32:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:32:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:32:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:33:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:33:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:33:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:33:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:34:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:34:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:34:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:34:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:35:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:35:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:35:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:35:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:36:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:36:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:36:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:36:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:37:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:37:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:37:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:37:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:38:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:38:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:38:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:38:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:39:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:39:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:39:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:39:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:40:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:40:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:40:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:40:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:41:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:41:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:41:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:41:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:42:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:42:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:42:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:42:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:43:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:43:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:43:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:43:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:44:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:44:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:44:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:44:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:45:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:45:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:45:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:45:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:46:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:46:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:46:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:46:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:47:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:47:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:47:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:47:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:48:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:48:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:48:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:48:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:49:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:49:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:49:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:49:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:50:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:50:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:50:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:50:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:51:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:51:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:51:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:51:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:52:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:52:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:52:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:52:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:53:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:53:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:53:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:53:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:54:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:54:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:54:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:54:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:55:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:55:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:55:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:55:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:56:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:56:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:56:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:56:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:57:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:57:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:57:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:57:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:58:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:58:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:58:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:58:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:59:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:59:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:59:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 09:59:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 10:00:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 10:00:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 10:00:30.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 10:00:45.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 10:01:00.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
SDU078,2011-07-15 10:01:15.0,0.0,0.0,15,94,0.0,32.87863231,-117.24112179,4,8,63,63,indoors  +lastvalidfix  +stationary  +inserted
